date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:35	9681/9681	---M--	200	added ('OK')	text/html	etag:%2225d1-5978adc6d87c0%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_banners.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_banners.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:36	2519/2519	---M--	200	added ('OK')	text/html	etag:%229d7-5982ce7a6bb00%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_blank.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_blank.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:36	6942/6942	---M--	200	added ('OK')	text/html	etag:%221b1e-5982ce74b2d80%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_features.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_features.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:37	23373/23373	---M--	200	added ('OK')	text/html	etag:%225b4d-5982ce7f30640%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_filter.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_filter.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:38	6851/6851	---M--	200	added ('OK')	text/html	etag:%221ac3-595a71f7e4800%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-1.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-1.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:39	6681/6681	---M--	200	added ('OK')	text/html	etag:%221a19-595a71f31fcc0%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-2.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-2.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:39	240240/240240	---M--	200	added ('OK')	font/woff2	etag:%225f3ebe77-3aa70%22	https://rsms.me/inter/font-files/Inter-italic.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:39	7961/7961	---M--	200	added ('OK')	text/html	etag:%221f19-595a71ec72d00%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-3.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-3.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:40	6992/6992	---M--	200	added ('OK')	text/html	etag:%221b50-59798b5888700%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-4.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_footer-4.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
15:44:40	10476/10476	---M--	200	added ('OK')	text/html	etag:%2228ec-5982ce8300f40%22	http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_forms.html	E:/DemoHTML/SBS/bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/_forms.html	(from http://bootstrap-ecommerce.com/templates/alistyle-html/_HTML-Components/)
